symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector
M&MFIN,15,-0.5931659836658485,-8.897489754987728,53.333333333333336,Financial Services
RENUKA,26,-0.5995500181575323,-15.58830047209584,46.15384615384615,(unmapped)
ENGINERSIN,17,-0.6027093913684346,-10.246059653263389,52.94117647058824,(unmapped)
CIPLA,39,-0.605219601971177,-23.603564476875903,41.02564102564102,Pharma
NICOLASPIR,11,-0.6251884742255878,-6.877073216481466,45.45454545454545,(unmapped)
CHENNPETRO,17,-0.6295895270128189,-10.70302195921792,41.17647058823529,(unmapped)
GMRINFRA,29,-0.6689352814108437,-19.399123160914467,37.93103448275862,(unmapped)
NHPC,16,-0.6832439745466127,-10.931903592745803,37.5,Power
SBIN,57,-0.7064138809244128,-40.26559121269153,43.859649122807014,Banking
ASHOKLEY,49,-0.7628491392839667,-37.379607824914366,51.02040816326531,Auto
CUMMINSIND,25,-0.775203249769541,-19.380081244238525,36.0,Auto
GMDCLTD,11,-0.7753033435343184,-8.528336778877502,36.36363636363637,Metals
ORCHIDCHEM,27,-0.7943667537909275,-21.44790235235504,44.44444444444444,(unmapped)
DABUR,25,-0.8019158051555562,-20.047895128888904,40.0,FMCG
DIVISLAB,40,-0.8030538189512816,-32.122152758051264,50.0,Pharma
AMBUJACEM,28,-0.823687056756852,-23.063237589191857,42.857142857142854,Cement
FEDERALBNK,33,-0.8248000788400889,-27.218402601722932,42.42424242424242,Banking
IDEA,19,-0.8520244120857475,-16.188463829629203,42.10526315789473,Telecom
VOLTAS,44,-0.8537442152593904,-37.564745471413175,40.909090909090914,Consumer Durables
MOTHERSUMI,8,-0.8608753007186618,-6.8870024057492945,37.5,(unmapped)
BAJAJHIND,32,-0.8649251406296649,-27.677604500149275,40.625,(unmapped)
LITL,20,-0.8789213526288752,-17.578427052577503,35.0,(unmapped)
VISUALSOFT,7,-0.8928215277092166,-6.249750693964517,42.857142857142854,(unmapped)
GAIL,34,-0.8950178853977777,-30.430608103524442,47.05882352941176,Oil & Gas
JINDALSTEL,35,-0.9118223841001282,-31.913783443504485,37.142857142857146,Metals
HINDPETRO,39,-0.9420208765662014,-36.738814186081854,43.58974358974359,Oil & Gas
SUNPHARMA,35,-0.9619799842498269,-33.66929944874394,48.57142857142857,Pharma
GUJNRECOKE,17,-0.9986614545663476,-16.97724472762791,41.17647058823529,(unmapped)
MARKSANS,13,-0.999668592388097,-12.995691701045262,38.46153846153847,(unmapped)
GLODYNE,10,-1.0254502574614275,-10.254502574614275,50.0,(unmapped)
APOLLOHOSP,16,-1.0289119831503388,-16.46259173040542,31.25,Pharma
FSL,15,-1.0293996554135039,-15.440994831202557,33.33333333333333,IT
HEROMOTOCO,12,-1.0390954226247084,-12.469145071496502,41.66666666666667,Auto
TITAN,51,-1.0491479635040266,-53.50654613870535,41.17647058823529,Retail
HAVELLS,31,-1.0536727235616667,-32.66385443041167,45.16129032258064,Consumer Durables
HCLTECH,35,-1.062763930498879,-37.196737567460765,42.857142857142854,IT
BIOCON,43,-1.064985559034938,-45.794379038502335,46.51162790697674,Pharma
STER,17,-1.0776112868924854,-18.31939187717225,35.294117647058826,(unmapped)
DEEPAKFERT,7,-1.081386209606169,-7.569703467243183,28.57142857142857,Chemicals
UBL,18,-1.0858024699505289,-19.54444445910952,38.88888888888889,(unmapped)
WIPRO,35,-1.1013051931319398,-38.54568175961789,37.142857142857146,IT
TTML,18,-1.1056421968404433,-19.90155954312798,38.88888888888889,(unmapped)
PETRONET,42,-1.127629956336102,-47.36045816611629,40.476190476190474,(unmapped)
NAGARCONST,17,-1.131178817153869,-19.230039891615775,52.94117647058824,(unmapped)
IBREALEST,38,-1.1326711171304933,-43.041502450958745,47.368421052631575,(unmapped)
INDUSINDBK,36,-1.138153424931248,-40.97352329752493,36.11111111111111,Banking
JSWSTEEL,42,-1.1405881707268288,-47.904703170526815,50.0,Metals
