symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
ANDHRABANK,2010-02-25,2010-02-25,95.05,88.82630157264609,110.60924606838476,2010-03-10,102.9,time,8,105,8.25881115202527,7.923878551604439,0.3349326004208312
BEML,2010-02-25,2010-02-25,1011.15,911.9746939204855,1259.088265198786,2010-03-10,1065.0,time,8,9,5.325619344310928,4.995192789408095,0.3304265549028334
BHARTIARTL,2010-02-25,2010-02-25,276.25,256.1217796248279,326.57055093793014,2010-03-10,292.0,time,8,36,5.70135746606335,5.37035369248869,0.3310037735746606
BIOCON,2010-02-25,2010-02-25,255.1,238.16601033285266,297.43497416786835,2010-03-10,280.0,time,8,39,9.760878087024704,9.423637972324586,0.3372401147001176
ESSAROIL,2010-02-25,2010-02-25,128.75,117.74448861880116,156.26377845299712,2010-03-10,145.5,time,8,77,13.009708737864067,12.667477685048533,0.342231052815534
ICSA,2010-02-25,2010-02-25,127.65,113.82492673818382,162.21268315454046,2010-03-10,140.25,time,8,78,9.870740305522908,9.533331417626316,0.33740888789659224
INDIANB,2010-02-25,2010-02-25,156.45,144.93634690171535,185.23413274571158,2010-03-10,166.9,time,8,63,6.6794503036113895,6.346943958389274,0.3325063452221157
ISPATIND,2010-02-25,2010-02-25,18.15,16.73839407777383,21.67901480556542,2010-03-10,19.75,time,8,550,8.81542699724518,8.47963930909091,0.33578768815427
MLL,2010-02-25,2010-02-25,51.7,46.65373137224035,64.31567156939913,2010-03-10,59.2,time,8,193,14.506769825918763,14.16223894893617,0.34453087698259194
MPHASIS,2010-02-25,2010-02-25,674.7,611.8746365987695,831.7634085030763,2010-03-10,660.2,time,8,14,-2.1491033051726727,-2.4680469967985808,0.31894369162590785
PATELENG,2010-02-25,2010-02-25,418.25,389.67228502796945,489.6942874300763,2010-03-10,448.0,time,8,23,7.112970711297062,6.779798380753129,0.33317233054393314
RPOWER,2010-02-25,2010-02-25,136.8,130.04816992542158,153.67957518644613,2010-03-10,143.2,time,8,73,4.678362573099393,4.34893035087717,0.3294322222222221
SINTEX,2010-02-25,2010-02-25,236.0,216.3645574385112,285.08860640372194,2010-03-10,270.65,time,8,42,14.682203389830505,14.33740300724576,0.34480038258474577
TECHM,2010-02-25,2010-02-25,907.45,837.2804857431397,1082.873785642151,2010-03-10,907.6,time,8,11,0.016529836354628458,-0.30574075720975524,0.3222705935643837
TULIP,2010-02-25,2010-02-25,921.6,843.9764691505654,1115.6588271235864,2010-03-10,917.3,time,8,10,-0.46657986111111605,-0.7881082889974007,0.3215284278862847
