symbol,first,last,rows,span_days,gap_rate
VBL,2016-11-08,2026-08-13,2418,2418,0.0
VEDL,2003-01-01,2026-08-13,5822,5822,0.0
VMM,2024-12-18,2026-08-13,409,409,0.0
VOLTAS,2003-01-01,2026-08-13,5822,5822,0.0
WAAREEENER,2024-10-28,2026-08-13,444,444,0.0
WELCORP,2003-12-04,2026-08-13,5590,5590,0.0
WHIRLPOOL,2010-01-08,2026-08-13,4104,4104,0.0
WIPRO,2003-01-01,2026-08-13,5822,5822,0.0
WOCKPHARMA,2003-01-01,2026-08-13,5822,5822,0.0
YESBANK,2005-07-12,2026-08-13,5209,5209,0.0
ZENSARTECH,2003-01-01,2026-08-13,5822,5822,0.0
ZYDUSLIFE,2003-01-27,2026-08-13,5804,5804,0.0
