date,reserve_type,currency,value
1994-06-01,SDRs,SDRs Millions,
1994-04-01,Reserve Tranche Position,₹ Crores,
1994-04-01,Reserve Tranche Position,US $ Millions,
1994-04-01,SDRs,SDRs Millions,
1994-03-01,Reserve Tranche Position,₹ Crores,
1994-03-01,Reserve Tranche Position,US $ Millions,
1994-03-01,SDRs,SDRs Millions,
1994-02-01,Reserve Tranche Position,₹ Crores,
1994-02-01,Reserve Tranche Position,US $ Millions,
1994-02-01,SDRs,SDRs Millions,
1994-01-01,Reserve Tranche Position,₹ Crores,
1994-01-01,Reserve Tranche Position,US $ Millions,
1994-01-01,SDRs,SDRs Millions,
1993-12-01,Reserve Tranche Position,₹ Crores,
1993-12-01,Reserve Tranche Position,US $ Millions,
1993-12-01,SDRs,SDRs Millions,
1993-10-01,Reserve Tranche Position,₹ Crores,
1993-10-01,Reserve Tranche Position,US $ Millions,
1993-10-01,SDRs,SDRs Millions,
1993-09-01,Reserve Tranche Position,₹ Crores,
1993-09-01,Reserve Tranche Position,US $ Millions,
1993-09-01,SDRs,SDRs Millions,
1993-08-01,Reserve Tranche Position,₹ Crores,
1993-08-01,Reserve Tranche Position,US $ Millions,
1993-08-01,SDRs,SDRs Millions,
1993-07-01,Reserve Tranche Position,₹ Crores,
1993-07-01,Reserve Tranche Position,US $ Millions,
1993-07-01,SDRs,SDRs Millions,
1993-06-01,Reserve Tranche Position,₹ Crores,
1993-06-01,Reserve Tranche Position,US $ Millions,
1993-06-01,SDRs,SDRs Millions,
1993-04-01,Reserve Tranche Position,₹ Crores,
1993-04-01,Reserve Tranche Position,US $ Millions,
1993-04-01,SDRs,SDRs Millions,
1993-03-01,Reserve Tranche Position,₹ Crores,
1993-03-01,Reserve Tranche Position,US $ Millions,
1993-03-01,SDRs,SDRs Millions,
1993-02-01,Reserve Tranche Position,₹ Crores,
1993-02-01,Reserve Tranche Position,US $ Millions,
1993-02-01,SDRs,SDRs Millions,
1993-01-01,Reserve Tranche Position,₹ Crores,
1993-01-01,Reserve Tranche Position,US $ Millions,
1993-01-01,SDRs,SDRs Millions,
1992-12-01,Reserve Tranche Position,₹ Crores,
1992-12-01,Reserve Tranche Position,US $ Millions,
1992-12-01,SDRs,SDRs Millions,
1992-10-01,Reserve Tranche Position,₹ Crores,
1992-10-01,Reserve Tranche Position,US $ Millions,
1992-10-01,SDRs,SDRs Millions,
1992-09-01,Reserve Tranche Position,₹ Crores,
1992-09-01,Reserve Tranche Position,US $ Millions,
1992-09-01,SDRs,SDRs Millions,
1992-08-01,Reserve Tranche Position,₹ Crores,
1992-08-01,Reserve Tranche Position,US $ Millions,
1992-08-01,SDRs,SDRs Millions,
1992-07-01,Reserve Tranche Position,₹ Crores,
1992-07-01,Reserve Tranche Position,US $ Millions,
1992-07-01,SDRs,SDRs Millions,
1992-06-01,Reserve Tranche Position,₹ Crores,
1992-06-01,Reserve Tranche Position,US $ Millions,
1992-06-01,SDRs,SDRs Millions,
1992-04-01,Reserve Tranche Position,₹ Crores,
1992-04-01,Reserve Tranche Position,US $ Millions,
1992-04-01,SDRs,SDRs Millions,
1992-03-01,Reserve Tranche Position,₹ Crores,
1992-03-01,Reserve Tranche Position,US $ Millions,
1992-03-01,SDRs,SDRs Millions,
1992-02-01,Reserve Tranche Position,₹ Crores,
1992-02-01,Reserve Tranche Position,US $ Millions,
1992-02-01,SDRs,SDRs Millions,
1992-01-01,Reserve Tranche Position,₹ Crores,
1992-01-01,Reserve Tranche Position,US $ Millions,
1992-01-01,SDRs,SDRs Millions,
1991-12-01,Reserve Tranche Position,₹ Crores,
1991-12-01,Reserve Tranche Position,US $ Millions,
1991-12-01,SDRs,SDRs Millions,
1991-10-01,Reserve Tranche Position,₹ Crores,
1991-10-01,Reserve Tranche Position,US $ Millions,
1991-10-01,SDRs,SDRs Millions,
1991-09-01,Reserve Tranche Position,₹ Crores,
1991-09-01,Reserve Tranche Position,US $ Millions,
1991-09-01,SDRs,SDRs Millions,
1991-08-01,Reserve Tranche Position,₹ Crores,
1991-08-01,Reserve Tranche Position,US $ Millions,
1991-08-01,SDRs,SDRs Millions,
1991-07-01,Reserve Tranche Position,₹ Crores,
1991-07-01,Reserve Tranche Position,US $ Millions,
1991-07-01,SDRs,SDRs Millions,
1991-06-01,Reserve Tranche Position,₹ Crores,
1991-06-01,Reserve Tranche Position,US $ Millions,
1991-06-01,SDRs,SDRs Millions,
1991-05-01,Reserve Tranche Position,₹ Crores,
1991-05-01,Reserve Tranche Position,US $ Millions,
1991-05-01,SDRs,SDRs Millions,
1991-04-01,Reserve Tranche Position,₹ Crores,
1991-04-01,Reserve Tranche Position,US $ Millions,
1991-04-01,SDRs,SDRs Millions,
1991-03-01,Reserve Tranche Position,₹ Crores,
1991-03-01,Reserve Tranche Position,US $ Millions,
1991-03-01,SDRs,SDRs Millions,
1991-02-01,Reserve Tranche Position,₹ Crores,
1991-02-01,Reserve Tranche Position,US $ Millions,
1991-02-01,SDRs,SDRs Millions,
1991-01-01,Reserve Tranche Position,₹ Crores,
1991-01-01,Reserve Tranche Position,US $ Millions,
1991-01-01,SDRs,SDRs Millions,
1990-12-01,Reserve Tranche Position,₹ Crores,
1990-12-01,Reserve Tranche Position,US $ Millions,
1990-12-01,SDRs,SDRs Millions,
1990-11-01,Reserve Tranche Position,₹ Crores,
1990-11-01,Reserve Tranche Position,US $ Millions,
1990-11-01,SDRs,SDRs Millions,
1990-10-01,Reserve Tranche Position,₹ Crores,
1990-10-01,Reserve Tranche Position,US $ Millions,
1990-10-01,SDRs,SDRs Millions,
1990-09-01,Reserve Tranche Position,₹ Crores,
1990-09-01,Reserve Tranche Position,US $ Millions,
1990-09-01,SDRs,SDRs Millions,
1990-08-01,Reserve Tranche Position,₹ Crores,
1990-08-01,Reserve Tranche Position,US $ Millions,
1990-08-01,SDRs,SDRs Millions,
